r1goldrigor	r1halftime	r3halftime	sniff4mm	xnear30mm
16.8330001831	18.329000473	22.892999649	16.14	22.57
14.8850011826	15.5979995728	16.8420009613	14.17	41.17
15.4270009995	15.5189990997	24.8330001831	16.3	41.17
25.8939971924	28.5690021515	30.998998642	27.73	41.63
9.6489992142	11.1639995575	15.0650005341	11.63	33.96
84.0810012817	81.5299987793	89.8709945679	77.84	70.67
27.4519958496	28.330997467	40.9439926147	30.47	58.54
0	0	0	0	0.43
12.9479999542	12.7849979401	15.7989988327	13.23	27.03
108.408996582	108.8070068359	117.6450042725	102.03	96.23
21.8659973145	25.0970058441	30.2639980316	27.23	41.77
24.8830013275	25.125	26.4919986725	19.3	44.24
31.9349994659	31.3269958496	36.8019943237	27.93	43.73
8.7709999084	8.5850000381	9.2899999619	8.9	0.1
19.3540000916	20.9979991913	29.0949954987	19.04	4.33
96.6750106812	97.3770141602	106.8800048828	86.67	105.53
27.4129981995	26.3479995728	31.4209976196	23.83	41.13
20.8220005035	21.5799999237	24.920999527	17.74	27.9
13.0819997787	13.1679992676	16.7149982452	13.97	36.44
6.367000103	6.1690001488	6.4489998817	6.73	0.3
123.9949951172	122.4819946289	142.7310028076	112.2	127.17
34.3250045776	36.5820045471	68.7929992676	31.19	56.63
34.4619979858	36.1940040588	44.0500068665	39.13	56.36
25.3619995117	26.6959991455	32.3350028992	29.07	38.99
25.4310016632	31.125	36.7099952698	38.17	89.13
26.4219989777	26.7919998169	28.8930015564	30.43	44.67
25.2829990387	24.1620006561	32.4780006409	21.99	52.74
0	0	0	0	0
48.3549957275	47.1470031738	66.5559997559	57.13	114.77
13.3679990768	15.4060001373	16.3220005035	11.63	18.77
34.4079971313	36.7389945984	42.3839950562	35.97	57.93
144.9599914551	143.9229888916	160.8320007324	139.97	111.94
18.2269992828	19.483001709	21.9809989929	13.93	18.59
62.3680038452	60.2469940186	110.3059997559	93.47	206.4
9.5729999542	9.5340003967	11.3500003815	10.54	19.93
11.4449996948	12.579000473	14.7529993057	14.2	23.13
26.9129962921	27.9340019226	33.2440032959	32.06	51.81
46.6500015259	46.2410011292	48.5080032349	47.46	23.57
18.7370014191	18.9349956512	24.3179988861	20.7	37.53
0	0	0	0	0

